frame_id,filename,class_id,name,center_x,center_y,width,height,confidence
1,/content/drive/My Drive/yolov4/darknet/data/data_new/frame498.jpg,5,Computer screen 5,0.880279,0.710479,0.241007,0.260442,0.994945
1,/content/drive/My Drive/yolov4/darknet/data/data_new/frame498.jpg,2,Computer screen 2,0.879203,0.398697,0.237562,0.259302,0.996567
1,/content/drive/My Drive/yolov4/darknet/data/data_new/frame498.jpg,1,Computer screen 1,0.564201,0.385745,0.439605,0.326414,0.999172
1,/content/drive/My Drive/yolov4/darknet/data/data_new/frame498.jpg,0,Computer screen 0,0.187238,0.399076,0.397258,0.287284,0.994202
2,/content/drive/My Drive/yolov4/darknet/data/data_new/frame478.jpg,5,Computer screen 5,0.876818,0.715659,0.240055,0.270958,0.990372
2,/content/drive/My Drive/yolov4/darknet/data/data_new/frame478.jpg,2,Computer screen 2,0.878219,0.403063,0.226329,0.282495,0.996822
2,/content/drive/My Drive/yolov4/darknet/data/data_new/frame478.jpg,1,Computer screen 1,0.555571,0.389009,0.432087,0.332919,0.999355
2,/content/drive/My Drive/yolov4/darknet/data/data_new/frame478.jpg,0,Computer screen 0,0.184926,0.400398,0.382079,0.275167,0.994262
3,/content/drive/My Drive/yolov4/darknet/data/data_new/frame493.jpg,5,Computer screen 5,0.873728,0.703209,0.25029,0.263635,0.994368
3,/content/drive/My Drive/yolov4/darknet/data/data_new/frame493.jpg,2,Computer screen 2,0.873016,0.39544,0.249953,0.266362,0.996899
3,/content/drive/My Drive/yolov4/darknet/data/data_new/frame493.jpg,1,Computer screen 1,0.551951,0.379922,0.44031,0.331094,0.999434
3,/content/drive/My Drive/yolov4/darknet/data/data_new/frame493.jpg,0,Computer screen 0,0.18264,0.395486,0.389499,0.283963,0.996434
4,/content/drive/My Drive/yolov4/darknet/data/data_new/frame503.jpg,2,Computer screen 2,0.879646,0.402292,0.225804,0.276785,0.996876
